Datum;Zeit;Heimteam;Gastteam;Ort;Matches;Sätze
07.09.2025;14:00;TCHB Mädchen U18 1;SG Saarwellingen/Dillingen 1;;;
13.09.2025;13:00;TCHB Damen 30 1;TC 1978 Kirrberg 1;;;
13.09.2025;13:00;TCHB Herren 30 1;TC Rehlingen 1;;;
14.09.2025;10:00;TCHB Bambini 2;TC Limbach  1;;;
14.09.2025;14:00;SG BW Saarbrücken/Brebach 1 (Jungen U18);TC Blau-Weiß Wallerfangen 1;TC Halberg  Brebach;;
20.09.2025;13:00;TCHB Herren 50 1;TC  1979 Ommersheim 1;;;
20.09.2025;13:00;TCHB Damen 30 1;TC  1979 Ommersheim 2;;;
21.09.2025;09:00;TCHB Herren 19-29 1;TC Schwarz-Weiß Bous 1;;;
21.09.2025;14:00;TCHB Mädchen U18 1;SG Schmelz/Hüttersd. 1;;;
27.09.2025;13:00;TCHB Herren 30 2;TC Bübingen 1;;;
28.09.2025;14:00;TCHB Mädchen U18 2;TV Hülzweiler Abt. Tennis 1;;;
28.09.2025;14:00;SG BW Saarbrücken/Brebach 1 (Jungen U18);SG Niedtaljunioren 1;TC Halberg  Brebach;;
